case_id,title,category,description,symptoms,target_rule,osi_layer,expected_root_cause,expected_fix,network_topology,raw_configs
CASE-DHCP-011,Router Default Gateway IP Not Excluded in DHCP Scope,DHCP,"DHCP server leases the router gateway IP 192.168.1.1 to a new client, triggering IP conflict.","IP conflict error message, intermittent gateway connectivity for all devices.",Duplicate IP,Layer 3 - Network,Missing 'ip dhcp excluded-address 192.168.1.1 192.168.1.10' in global configuration.,Configure 'ip dhcp excluded-address 192.168.1.1 192.168.1.10' on Router R1.,"{""devices"": [""R1"", ""PC1""], ""clients"": [{""name"": ""PC1"", ""ip"": ""192.168.1.1"", ""mask"": ""255.255.255.0"", ""gateway"": ""192.168.1.1""}]}","{""R1"": ""ip dhcp pool LAN-POOL\n network 192.168.1.0 255.255.255.0\n default-router 192.168.1.1\ninterface GigabitEthernet0/0\n ip address 192.168.1.1 255.255.255.0""}"
CASE-DHCP-012,DHCP Snooping Untrusted Uplink Port Drops Server Responses,DHCP,Switch SW1 drops DHCP Offer and Ack packets from core DHCP server.,DHCP DISCOVER sent but no OFFER received by client.,Interface down / Missing VLAN,Layer 2 - Data Link,Uplink interface Gi0/1 on SW1 is not configured with 'ip dhcp snooping trust'.,Apply 'ip dhcp snooping trust' to interface GigabitEthernet0/1 on SW1.,"{""devices"": [""SW1"", ""DHCP-Server""], ""links"": [{""from"": ""SW1:Gi0/1"", ""to"": ""DHCP-Server:Fa0""}]}","{""SW1"": ""ip dhcp snooping\nip dhcp snooping vlan 10\ninterface GigabitEthernet0/1\n switchport mode trunk""}"
CASE-DNS-013,Incorrect DNS Server IP Configured on Client Workstations,DNS,Users cannot browse domain names (e.g. www.cisco.com) but can ping raw IP addresses.,"nslookup fails with server failure or timeout, direct IP ping to 8.8.8.8 succeeds.",Gateway mismatch / DNS,Layer 7 - Application,"Client DNS server is set to 192.168.1.250 which does not exist, instead of actual DNS server 192.168.1.10.",Update client / DHCP pool DNS configuration to 192.168.1.10.,"{""devices"": [""R1"", ""DNS-Server"", ""PC1""], ""clients"": [{""name"": ""PC1"", ""ip"": ""192.168.1.50"", ""mask"": ""255.255.255.0"", ""gateway"": ""192.168.1.1"", ""dns"": ""192.168.1.250""}]}","{""DNS-Server"": ""interface FastEthernet0\n ip address 192.168.1.10 255.255.255.0\n no shutdown""}"
CASE-DNS-014,DNS Server Service Port Inactive on Server in Packet Tracer,DNS,DNS queries sent to valid server IP 10.0.0.53 are rejected with ICMP port unreachable.,DNS service turned off in Packet Tracer server config tab.,Interface down,Layer 7 - Application,The DNS Service daemon on Server 10.0.0.53 is switched OFF.,Enable DNS Service in the Server configuration and verify A record entries.,"{""devices"": [""Server-DNS"", ""PC1""], ""clients"": [{""name"": ""PC1"", ""ip"": ""10.0.0.100"", ""mask"": ""255.255.255.0"", ""gateway"": ""10.0.0.1"", ""dns"": ""10.0.0.53""}]}","{""Server-DNS"": ""interface FastEthernet0\n ip address 10.0.0.53 255.255.255.0\nservice dns status: OFF""}"
CASE-DNS-015,Missing A Record for Intranet Web Server,DNS,Employees cannot resolve 'portal.corp.local' but can resolve external websites.,Non-existent domain (NXDOMAIN) returned for internal portal hostname.,Missing route / DNS,Layer 7 - Application,The internal DNS zone lacks an A record mapping portal.corp.local to 10.10.10.80.,Add A record 'portal.corp.local -> 10.10.10.80' on the DNS Server.,"{""devices"": [""DNS-Server"", ""Web-Server""], ""clients"": [{""name"": ""PC1"", ""dns"": ""10.10.10.5""}]}","{""DNS-Server"": ""ip host intranet.corp.local 10.10.10.70\n! missing portal.corp.local""}"
CASE-DNS-016,Subnet Mask Misconfiguration on Central DNS Server,DNS,DNS Server cannot reply to clients from adjacent subnets due to improper local mask.,"Local clients resolve DNS, remote subnet clients time out.",Wrong subnet mask,Layer 3 - Network,DNS Server interface configured with 255.255.255.240 (/28) while router uses 255.255.255.0 (/24).,Correct DNS Server interface mask to 255.255.255.0.,"{""devices"": [""R1"", ""DNS-Server""], ""clients"": [{""name"": ""DNS-Server"", ""ip"": ""172.16.1.50"", ""mask"": ""255.255.255.240"", ""gateway"": ""172.16.1.1""}]}","{""R1"": ""interface GigabitEthernet0/0\n ip address 172.16.1.1 255.255.255.0\n no shutdown""}"
CASE-ROUTE-017,Missing Default Static Route on Edge Router to ISP Gateway,Routing,Internal LAN cannot access external internet hosts because Edge Router has no default gateway route.,Pings to internet IP 209.165.200.225 drop with 'no route to host'.,Missing route,Layer 3 - Network,Edge Router R1 is missing static default route 'ip route 0.0.0.0 0.0.0.0 203.0.113.2'.,Add 'ip route 0.0.0.0 0.0.0.0 203.0.113.2' on Router R1.,"{""devices"": [""R1"", ""ISP-R2""], ""links"": [{""from"": ""R1:Gi0/1"", ""to"": ""ISP-R2:Gi0/1""}]}","{""R1"": ""interface GigabitEthernet0/0\n ip address 192.168.1.1 255.255.255.0\ninterface GigabitEthernet0/1\n ip address 203.0.113.1 255.255.255.252\n! missing default route""}"
CASE-ROUTE-018,OSPF Link MTU Mismatch Halts Neighbor Adjacency in EXSTART,Routing,Routers R1 and R2 fail to form full OSPF routing adjacency over GigabitEthernet0/0.,show ip ospf neighbor shows state EXSTART/EXCHANGE indefinitely.,Wrong subnet mask / Routing,Layer 3 - Network,Interface Gi0/0 on R2 is set to MTU 1400 while R1 uses standard MTU 1500.,Set 'ip mtu 1500' on interface GigabitEthernet0/0 on R2 (or apply 'ip ospf mtu-ignore').,"{""devices"": [""R1"", ""R2""], ""links"": [{""from"": ""R1:Gi0/0"", ""to"": ""R2:Gi0/0""}]}","{""R1"": ""interface GigabitEthernet0/0\n ip address 10.0.0.1 255.255.255.252\n ip mtu 1500\nrouter ospf 1\n network 10.0.0.0 0.0.0.3 area 0"", ""R2"": ""interface GigabitEthernet0/0\n ip address 10.0.0.2 255.255.255.252\n ip mtu 1400\nrouter ospf 1\n network 10.0.0.0 0.0.0.3 area 0""}"
CASE-ROUTE-019,OSPF Passive-Interface Configured on Transit Inter-Router Link,Routing,Router R1 and R3 do not exchange OSPF LSAs across transit link Gi0/2.,No OSPF Hello packets sent or received on Gi0/2; neighbor relationship is down.,Missing route,Layer 3 - Network,Interface GigabitEthernet0/2 was mistakenly set to passive-interface under router ospf 1.,Execute 'no passive-interface GigabitEthernet0/2' under router ospf 1 on R1.,"{""devices"": [""R1"", ""R3""], ""links"": [{""from"": ""R1:Gi0/2"", ""to"": ""R3:Gi0/2""}]}","{""R1"": ""interface GigabitEthernet0/2\n ip address 10.1.0.1 255.255.255.252\nrouter ospf 1\n passive-interface GigabitEthernet0/2\n network 10.1.0.0 0.0.0.3 area 0"", ""R3"": ""interface GigabitEthernet0/2\n ip address 10.1.0.2 255.255.255.252\nrouter ospf 1\n network 10.1.0.0 0.0.0.3 area 0""}"
CASE-ROUTE-020,EIGRP Autonomous System Number Mismatch Between R1 and R2,Routing,EIGRP routes are not populated in routing table between adjacent routers.,EIGRP neighbor table is empty.,Missing route,Layer 3 - Network,R1 runs EIGRP AS 100 while R2 runs EIGRP AS 200.,Reconfigure R2 to run 'router eigrp 100'.,"{""devices"": [""R1"", ""R2""]}","{""R1"": ""interface GigabitEthernet0/0\n ip address 10.2.0.1 255.255.255.252\nrouter eigrp 100\n network 10.2.0.0 0.0.0.3"", ""R2"": ""interface GigabitEthernet0/0\n ip address 10.2.0.2 255.255.255.252\nrouter eigrp 200\n network 10.2.0.0 0.0.0.3""}"
CASE-ACL-021,Standard Access List Implicit Deny Dropping Department Subnet,ACL,Sales department PCs on 192.168.20.0/24 are completely unable to reach Server Farm.,Pings fail with 'Communication administratively prohibited' from router.,Missing route / ACL,Layer 4 - Transport,ACL 10 only permits 192.168.10.0 and hits implicit deny all for 192.168.20.0.,Add 'access-list 10 permit 192.168.20.0 0.0.0.255' to R1 configuration.,"{""devices"": [""R1"", ""ServerFarm""], ""clients"": [{""name"": ""PC-Sales"", ""ip"": ""192.168.20.50"", ""mask"": ""255.255.255.0"", ""gateway"": ""192.168.20.1""}]}","{""R1"": ""access-list 10 permit 192.168.10.0 0.0.0.255\ninterface GigabitEthernet0/1\n ip access-group 10 out""}"
CASE-ACL-022,Extended ACL Applied in Inbound Direction on Wrong Router Interface,ACL,Web traffic to port 80 is blocked for all incoming traffic from LAN.,HTTP connections fail to initialize; ACL match counter increases on deny statement.,Interface down / ACL,Layer 4 - Transport,Extended ACL 101 applied 'in' on internal LAN interface with source set to external IP.,Correct direction to 'ip access-group 101 out' or revise source/destination in ACL 101.,"{""devices"": [""R1""]}","{""R1"": ""access-list 101 permit tcp 10.0.0.0 0.255.255.255 any eq 80\ninterface GigabitEthernet0/0\n ip access-group 101 in""}"
CASE-ACL-023,ACL Rule Ordering: Broad Deny Placed Above Specific Permit,ACL,Admin PC at 192.168.1.50 cannot SSH into Router despite specific permit rule.,SSH connection refused/blocked due to top-level deny 192.168.1.0/24 rule.,ACL,Layer 4 - Transport,Rule 'deny ip 192.168.1.0 0.0.0.255 any' is evaluated before 'permit tcp host 192.168.1.50 any eq 22'.,Place 'permit tcp host 192.168.1.50 any eq 22' before the subnet deny statement.,"{""devices"": [""R1"", ""Admin-PC""], ""clients"": [{""name"": ""Admin-PC"", ""ip"": ""192.168.1.50""}]}","{""R1"": ""ip access-list extended MGMT-ACL\n 10 deny ip 192.168.1.0 0.0.0.255 any\n 20 permit tcp host 192.168.1.50 any eq 22\ninterface GigabitEthernet0/0\n ip access-group MGMT-ACL in""}"
CASE-ACL-024,ICMP Echo Denied by Restrictive Security ACL on Gateway,ACL,Network monitoring tool cannot ping router gateway interface.,"Ping echo requests are dropped, while TCP application traffic succeeds.",ACL,Layer 3 - Network,ACL denies all ICMP protocol traffic without permit icmp statement.,Add 'permit icmp any any echo' and 'permit icmp any any echo-reply' to ACL.,"{""devices"": [""R1"", ""Monitor-PC""]}","{""R1"": ""ip access-list extended SEC-FILTER\n 10 deny icmp any any\n 20 permit ip any any\ninterface GigabitEthernet0/0\n ip access-group SEC-FILTER in""}"
CASE-NAT-025,Missing IP NAT Inside Designation on Router LAN Interface,NAT,LAN hosts cannot translate private addresses to public IP when browsing internet.,show ip nat translations displays empty table; outside hosts drop untranslated RFC1918 packets.,Missing route / NAT,Layer 3 - Network,Interface GigabitEthernet0/0 is missing 'ip nat inside' configuration.,Add 'ip nat inside' under interface GigabitEthernet0/0 on Router R1.,"{""devices"": [""R1"", ""PC1""], ""clients"": [{""name"": ""PC1"", ""ip"": ""192.168.1.100"", ""gateway"": ""192.168.1.1""}]}","{""R1"": ""ip nat inside source list 1 interface GigabitEthernet0/1 overload\naccess-list 1 permit 192.168.1.0 0.0.0.255\ninterface GigabitEthernet0/0\n ip address 192.168.1.1 255.255.255.0\n! missing ip nat inside\ninterface GigabitEthernet0/1\n ip address 203.0.113.1 255.255.255.252\n ip nat outside""}"
CASE-NAT-026,NAT Overload Access-List Subnet Wildcard Mask Inversion,NAT,NAT overload fails to match internal host packets attempting internet outbound access.,Zero translation hits in show ip nat statistics.,Wrong subnet mask / NAT,Layer 3 - Network,Access-list 1 configured with subnet mask 255.255.255.0 instead of wildcard mask 0.0.0.255.,Reconfigure 'access-list 1 permit 192.168.1.0 0.0.0.255'.,"{""devices"": [""R1""]}","{""R1"": ""ip nat inside source list 1 interface GigabitEthernet0/1 overload\naccess-list 1 permit 192.168.1.0 255.255.255.0\ninterface GigabitEthernet0/0\n ip nat inside\ninterface GigabitEthernet0/1\n ip nat outside""}"
CASE-NAT-027,Missing IP NAT Outside Designation on Internet Gateway Link,NAT,NAT translation table creates entries but return packets are not de-NATted.,TCP SYN sent outward but return SYN-ACK dropped at router boundary.,Interface down / NAT,Layer 3 - Network,WAN interface Serial0/0/0 or Gi0/1 lacks 'ip nat outside'.,Add 'ip nat outside' on WAN interface GigabitEthernet0/1.,"{""devices"": [""R1""]}","{""R1"": ""ip nat inside source list 1 interface GigabitEthernet0/1 overload\naccess-list 1 permit 10.0.0.0 0.255.255.255\ninterface GigabitEthernet0/0\n ip nat inside\ninterface GigabitEthernet0/1\n ip address 198.51.100.1 255.255.255.252""}"
CASE-WLAN-028,SSID Name Mismatch Between Laptop Client and Lightweight AP,Wireless,Laptop wireless adapter fails to associate with office WLAN access point.,Laptop wireless association indicator remains unlinked / disconnected.,Missing VLAN / Wireless,Layer 2 - Data Link,Laptop SSID is configured as 'Cisco-Corp' while Access Point broadcasts 'Cisco_Corp'.,Update laptop wireless client profile SSID to match 'Cisco_Corp'.,"{""devices"": [""WLC1"", ""AP1"", ""Laptop1""], ""clients"": [{""name"": ""Laptop1"", ""ssid"": ""Cisco-Corp""}]}","{""AP1"": ""dot11 ssid Cisco_Corp\n authentication open\n authentication key-management wpa2""}"
CASE-WLAN-029,WPA2 Pre-Shared Key (PSK) Passphrase Mismatch on Client,Wireless,Wireless host associates with AP but 4-way WPA2 handshake fails.,"Authentication failure message, client disconnected immediately after association attempt.",Wireless,Layer 2 - Data Link,Client entered pre-shared key 'Cisco12345!' while AP expects 'Cisco123!'.,Configure correct WPA2-PSK key 'Cisco123!' on wireless client.,"{""devices"": [""AP1"", ""Smartphone1""], ""clients"": [{""name"": ""Smartphone1"", ""ssid"": ""OfficeWiFi"", ""psk"": ""Cisco12345!""}]}","{""AP1"": ""dot11 ssid OfficeWiFi\n authentication key-management wpa2\n wpa-psk ascii Cisco123!""}"
CASE-WLAN-030,Wireless Access Point Switch Port Missing Trunk / Native VLAN Mapping,Wireless,Wireless clients associating to AP get no IP address because AP management and client traffic are untagged.,AP fails to communicate with WLC; clients on multi-SSID cannot bridge traffic to VLAN 40.,Missing VLAN / Interface down,Layer 2 - Data Link,Switch port Fa0/12 connected to AP configured as access port instead of trunk.,Configure 'switchport mode trunk' on Switch interface Fa0/12.,"{""devices"": [""SW1"", ""AP1""], ""links"": [{""from"": ""SW1:Fa0/12"", ""to"": ""AP1:Eth0""}]}","{""SW1"": ""interface FastEthernet0/12\n switchport mode access\n switchport access vlan 1""}"
